"Participant","Media","AOI","Total_duration_of_fixations","Number_of_fixations","Average_pupil_diameter","Subtitle_Type","Modality","Clip","Wordcount","Line","Prop_reading_time","Mean_fixation_duration"
"Participant45","E2-SDH","SUB",35.273,242,3.1924,"SDH","Interlingual","E2",912,65,0.451916670937324,145.756198347107
"Participant45","E3-ST","SUB",27.566,184,3.18869,"SS","Interlingual","E3",521,61,0.184189601833477,149.815217391304
"Participant6","C1-LC","SUB",22.322,140,4.38917,"AC","Intralingual","C1",379,62,0.139597130760524,159.442857142857
"Participant6","C2-SDH","SUB",52.87,362,4.24724,"SDH","Intralingual","C2",792,75,0.331552344759253,146.049723756906
"Participant6","C3-ST","SUB",48.415,273,4.46073,"SS","Intralingual","C3",784,108,0.361605509041071,177.344322344322
"Participant15","E1-LC","SUB",27.735,196,4.99693,"AC","Interlingual","E1",497,53,0.494385026737968,141.505102040816
"Participant15","E2-SDH","SUB",7.9,57,5.4185,"SDH","Interlingual","E2",912,65,0.225064812968292,138.59649122807
"Participant15","E3-ST","SUB",12.181,60,5.21209,"SS","Interlingual","E3",521,61,0.157560470831716,203.016666666667
"Participant15","C1-LC","SUB",10.315,60,5.06669,"AC","Intralingual","C1",379,62,0.377079144580515,171.916666666667
"Participant15","C2-SDH","SUB",6.749,44,4.88161,"SDH","Intralingual","C2",792,75,0.144052421506478,153.386363636364
"Participant15","C3-ST","SUB",5.116,26,4.74553,"SS","Intralingual","C3",784,108,0.257175891016941,196.769230769231
"Participant30","C1-LC","SUB",42.696,158,4.59265,"AC","Intralingual","C1",379,62,0.18349270472957,270.227848101266
"Participant30","C2-SDH","SUB",107.618,359,4.45853,"SDH","Intralingual","C2",792,75,0.436917405566923,299.771587743733
"Participant30","C3-ST","SUB",127.381,447,3.9342,"SS","Intralingual","C3",784,108,0.485886589208199,284.968680089485
"Participant45","C1-LC","SUB",19.891,105,3.4524,"AC","Intralingual","C1",379,62,0.203058484845391,189.438095238095
"Participant45","C2-SDH","SUB",70.332,370,3.18399,"SDH","Intralingual","C2",792,75,0.42704133676592,190.086486486486
"Participant45","C3-ST","SUB",36.264,226,3.2861,"SS","Intralingual","C3",784,108,0.398492357394811,160.46017699115
"Participant30","E1-LC","SUB",118.474,458,4.92804,"AC","Interlingual","E1",497,53,0.463756429427008,258.676855895197
"Participant30","E2-SDH","SUB",97.469,323,4.4788,"SDH","Interlingual","E2",912,65,0.435824058879554,301.761609907121
"Participant30","E3-ST","SUB",67.392,281,4.88017,"SS","Interlingual","E3",521,61,0.369069003285871,239.829181494662
"Participant29","E1-ST","SUB",104.937,407,3.33773,"SS","Interlingual","E1",480,47,0.456899404367968,257.830466830467
"Participant29","E2-LC","SUB",136.375,513,3.24668,"AC","Interlingual","E2",674,63,0.534703271541043,265.83820662768
"Participant29","E3-SDH","SUB",84.927,337,3.46857,"SDH","Interlingual","E3",574,65,0.337801448623966,252.008902077151
"Participant41","C1-ST","SUB",38.571,215,4.71537,"SS","Intralingual","C1",399,55,0.207022591016193,179.4
"Participant41","C2-LC","SUB",62.128,308,4.63308,"AC","Intralingual","C2",569,80,0.364686546137591,201.714285714286
"Participant41","C3-SDH","SUB",90.544,549,4.48479,"SDH","Intralingual","C3",986,116,0.436691247751289,164.925318761384
